,Stefan,yt4,diana_c,diana,f,tomsa_s,costis,Raluca,cosmin,yt2,costi,alex,yt3,test_person_1,twin2,daniel,twin1,yt1,Mom,ioana,andra,raed
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
200,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
982,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
426,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
498,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
250,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
169,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
500,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
360,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
420,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
159,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
391,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
425,500,200,500,982,426,498,500,500,500,250,500,500,169,500,500,500,500,360,420,159,391,425
